Gene ID,Control_16hpi_rep1,Control_16hpi_rep2,Control_16hpi_rep3,_AP2-MRPKO_16hpi_rep1,_AP2-MRPKO_16hpi_rep2,_AP2-MRPKO_16hpi_rep3,Control_40hpi_rep1,Control_40hpi_rep2,Control_40hpi_rep3,_AP2-MRPKO_40hpi_rep1,_AP2-MRPKO_40hpi_rep2,_AP2-MRPKO_40hpi_rep3
PF3D7_1132500,4,2,8,4,12,3,19,35,10,44,51,63
PF3D7_0708600,2,0,0,5,3,2,43,47,60,160,148,140
PF3D7_0802200,1031,734,1050,691,598,1005,2332,2328,2791,6901,7191,5968
PF3D7_1466300,3396,2066,2806,2197,1980,2614,17457,16264,20924,21747,23451,19166
PF3D7_0920100,104,82,91,40,51,37,186,210,218,942,792,831
PF3D7_1102600,7,1,14,13,8,9,57,161,153,1329,1754,1478
PF3D7_0934800,156,124,131,186,172,188,25983,26912,33494,25996,29714,26847
PF3D7_0620000,1,2,5,5,5,8,71,55,64,399,392,371
PF3D7_0213500,309,218,285,168,174,205,356,377,458,1166,1094,878
PF3D7_1416100,345,198,291,443,506,460,2253,3255,3998,3257,3385,3000
PF3D7_1112300,19,21,20,4,2,7,94,129,104,378,304,341
PF3D7_0323400,39,34,30,11,10,10,35863,45840,59188,1880,2344,1846
PF3D7_1429400,1391,949,1183,726,714,650,423,512,578,2039,1928,1654
PF3D7_API03300,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_1332800,2232,1583,1992,1704,1621,1755,452,483,646,1714,1830,1419
PF3D7_1131800,2649,1988,2575,750,683,783,12974,12049,17933,6126,5976,5083
PF3D7_1205100,495,309,423,159,171,182,590,703,746,1994,2041,1810
PF3D7_0820400,0,0,4,3,0,0,87,84,72,350,323,368
PF3D7_1232100,946,735,931,478,379,519,6993,6210,7444,8263,8701,7197
PF3D7_1125900,651,479,505,341,275,341,1530,2330,2112,554,596,511
PF3D7_0630400,1,0,0,0,4,0,300,461,541,467,587,480
PF3D7_1448400,94,72,113,45,56,38,1166,1251,1571,3186,3207,2958
PF3D7_0715100,2,1,1,1,3,3,115,125,142,266,286,260
PF3D7_0712100,6,5,5,5,4,9,0,0,1,0,0,1
