baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,Gene ID
429.9282855784759,0.6944180940834956,0.1719080097097205,4.039474921826344,5.357099523276193e-05,0.0017044452151867508,up,PF3D7_0209400
3288.6460800023974,0.5218767607964392,0.09935328885294091,5.252737647858864,1.498549200257005e-07,1.0743598733042554e-05,up,PF3D7_0519700
180.53575094315397,0.717247231279087,0.17556990388912092,4.085251602871844,4.402908040622318e-05,0.0014573304833372298,up,PF3D7_0532200
7096.862871196167,-6.195344374155553,1.2186708202952352,-5.0836897634544735,3.701723841768658e-07,2.3416669526105968e-05,down,PF3D7_0911100
630.8134774407316,-4.419342251614187,1.3968986178094498,-3.163681454953682,0.001557872040279152,0.027829494885651163,down,PF3D7_1028900
5863.41649787932,-6.933210447708107,1.1308013103497287,-6.131236658687491,8.719857854672441e-10,9.975888443526322e-08,down,PF3D7_1335300
36112.131643214685,-5.824640350680529,0.9425212225024092,-6.179850608791613,6.416228801815407e-10,7.666680503858099e-08,down,PF3D7_1026600
205.6388862324923,2.2141002262406113,0.5876030390428185,3.768020379621063,0.00016454727184916226,0.004173446607230875,up,PF3D7_1429200
1744.6830331010262,0.9678012797187548,0.17085046962730135,5.664610005637956,1.4735930145458632e-08,1.3429677354598485e-06,up,PF3D7_1429700
5413.605227630863,4.454950470270664,1.126391166575829,3.9550651696013244,7.651379213963971e-05,0.0022481675428133482,up,PF3D7_0526600
4744.67838250635,-7.414969882354376,1.055483022898607,-7.025191046646215,2.1377353920895e-12,3.9636562769880144e-10,down,PF3D7_0507500
262.64501253114065,-5.5658016735551845,1.1311163342616066,-4.920627087565262,8.62673617762332e-07,5.0419522203348474e-05,down,PF3D7_0832100
1211.159864197078,-4.510150368965858,0.9823897620897685,-4.590998952769757,4.411295505442818e-06,0.00021368951290780212,down,PF3D7_1231400
860.4823954882135,-6.579559018259568,1.2147336096833024,-5.416462478530539,6.078974027053405e-08,4.952521718706994e-06,down,PF3D7_0318700
553.34956119317,-1.7827036733430395,0.55465221309947,-3.214092779655661,0.001308573829392407,0.024096580413160863,down,PF3D7_0910600
9694.593544673455,-4.106594096640288,1.1090920569622038,-3.7026629763161627,0.00021334821902176828,0.005262263182018569,down,PF3D7_0402200
1354.3445283827316,1.402847000630718,0.28289752201842,4.958852204224596,7.091088672370706e-07,4.23653153237081e-05,up,PF3D7_0504700
1324.868114916895,0.7874837953645044,0.18302405022385626,4.3026246791136735,1.68786633446212e-05,0.0006722709096594681,up,PF3D7_0705900
651.5986054010369,-1.8648521203868689,0.44422098298417034,-4.198027990166602,2.6924935882465134e-05,0.0009848665322450003,down,PF3D7_1407200
38.51628493137267,2.6401521232917524,0.5878303270617221,4.49135065298279,7.077291976769952e-06,0.00031978654587472294,up,PF3D7_1139500
5952.833073011024,-6.123593896305659,1.0736094128435127,-5.703744604927585,1.172036461602053e-08,1.1056210621112699e-06,down,PF3D7_0214600
139.0668216446182,0.7830187717059827,0.18554737285508557,4.2200477412177015,2.4425058821898267e-05,0.000912038481148243,up,PF3D7_1203600
29.279739922661616,1.673836817287644,0.432824368816145,3.8672425535232655,0.00011007293359110133,0.002993267501196897,up,PF3D7_1369300
4175.5159169923445,2.1183742994019688,0.22621803513471292,9.36430332860276,7.65536443246403e-21,3.7420813230326446e-18,up,PF3D7_1467600
56.79081197950672,1.1603600989982368,0.33401071068092014,3.4740206283586117,0.000512721614411622,0.010685674886400355,up,PF3D7_0405300
239.159023339236,0.8040326674836092,0.23321164500196254,3.447652313746353,0.0005654814630381462,0.011649784776843341,up,PF3D7_1445300
112.50529252088818,0.9175599643530654,0.1660997488107811,5.524150222516827,3.3108410109597566e-08,2.9184249370378052e-06,up,PF3D7_1217100
1487.2564333275466,-1.663067318608321,0.44933529922581295,-3.7011722014133333,0.00021460576758253587,0.0052691105584077415,down,PF3D7_0316900
246.2279481571229,4.42259927802289,1.1277032029202694,3.9217759305553512,8.789871373827061e-05,0.002500695152225826,up,PF3D7_1131500
909.9461615330755,-5.321731658397823,1.3029192412010433,-4.084467778288546,4.417795588320038e-05,0.0014573304833372298,down,PF3D7_1231200
461.87055908852994,-2.9623775632465854,0.9935428864365731,-2.981630288624386,0.002867180168694167,0.04561191647061697,down,PF3D7_1401900
59.23404690085406,1.321574672295615,0.37217694684666036,3.5509310382948396,0.00038387098523925815,0.008459320850948734,up,PF3D7_0705800
463.9360255233141,-2.5293258503152862,0.6411158025267513,-3.9451934273757785,7.973558772797335e-05,0.0023050443828672726,down,PF3D7_1366100
902.4012511198749,-6.620454439479497,1.1681232747744168,-5.667599115990572,1.4481228862482243e-08,1.3425097860959832e-06,down,PF3D7_0805300
405.02183160519854,-4.870797834585402,1.2479737230762042,-3.902965058093599,9.502142486502693e-05,0.002674365606882386,down,PF3D7_0724900
670.2727604710994,-0.6805473675678538,0.14875523419236747,-4.5749473708453365,4.763397133325577e-06,0.0002266618264238197,down,PF3D7_0722000
12506.011635707537,-1.7451884376383795,0.48358626831070095,-3.6088461397690215,0.0003075619447612286,0.006948573852861874,down,PF3D7_1464600
205.1781231423362,-0.9964592353029306,0.2703623081300042,-3.6856440610936834,0.00022812499595730904,0.005500574454091707,down,PF3D7_0901700
327.8441822623772,2.110055272882611,0.4939217146298953,4.27204395025174,1.936893884972012e-05,0.0007492574402514034,up,PF3D7_1350900
348.86777180444443,-1.750865233510453,0.46969889947746857,-3.7276332464441766,0.00019328637562521228,0.0048115779710035484,down,PF3D7_1321400
